dataset,method,requested_budget_type,requested_budget,actual_structural_storage_ratio,support_node_ratio,budget_slack,success,budget_match_pass,failure_reason
DBLP,Full-native-SeHGNN,,,,,,True,True,
DBLP,Export-full-SeHGNN,,,,,,True,True,
ACM,Full-native-SeHGNN,,,,,,True,True,
ACM,Export-full-SeHGNN,,,,,,True,True,
IMDB,Full-native-SeHGNN,,,,,,True,True,
IMDB,Export-full-SeHGNN,,,,,,True,True,
DBLP,H6-node30,support_node_ratio,0.3,0.7765286382078632,0.3,0.0,True,True,
ACM,H6-node30,support_node_ratio,0.3,,0.3,0.0,False,True,
IMDB,H6-node30,support_node_ratio,0.3,0.8926449630767522,0.3,0.0,True,True,
DBLP,HeSF-RCS-auto structural50,structural_storage_ratio,0.5,0.15916430179078186,0.30003171582619725,0.3408356982092181,True,True,
DBLP,HeSF-RCS-auto structural30,structural_storage_ratio,0.3,0.15916430179078186,0.30003171582619725,0.14083569820921812,True,True,
DBLP,HeSF-RCS-auto structural20,structural_storage_ratio,0.2,0.15916430179078186,0.30003171582619725,0.040835698209218146,True,True,
DBLP,HeSF-RCS-auto structural16,structural_storage_ratio,0.16,0.15916430179078186,0.30003171582619725,0.0008356982092181386,True,True,
DBLP,HeSF-RCS-auto structural12,structural_storage_ratio,0.12,0.11951718894668302,0.30003171582619725,0.0004828110533169755,True,True,
ACM,HeSF-RCS-auto structural50,structural_storage_ratio,0.5,0.5,0.3,0.0,False,True,
ACM,HeSF-RCS-auto structural30,structural_storage_ratio,0.3,0.3,0.3,0.0,False,True,
ACM,HeSF-RCS-auto structural20,structural_storage_ratio,0.2,0.2,0.3,0.0,False,True,
ACM,HeSF-RCS-auto structural16,structural_storage_ratio,0.16,0.16,0.3,0.0,False,True,
ACM,HeSF-RCS-auto structural12,structural_storage_ratio,0.12,0.12,0.3,0.0,False,True,
IMDB,HeSF-RCS-auto structural50,structural_storage_ratio,0.5,0.5,0.3,0.0,False,True,
IMDB,HeSF-RCS-auto structural30,structural_storage_ratio,0.3,0.3,0.3,0.0,False,True,
IMDB,HeSF-RCS-auto structural20,structural_storage_ratio,0.2,0.2,0.3,0.0,False,True,
IMDB,HeSF-RCS-auto structural16,structural_storage_ratio,0.16,0.16,0.3,0.0,False,True,
IMDB,HeSF-RCS-auto structural12,structural_storage_ratio,0.12,0.12,0.3,0.0,False,True,
DBLP,Random-edge-relwise,structural_storage_ratio,0.5,0.5,all_target_preserved,0.0,False,True,
DBLP,Random-edge-relwise,structural_storage_ratio,0.3,0.3,all_target_preserved,0.0,False,True,
DBLP,Random-edge-relwise,structural_storage_ratio,0.2,0.2,all_target_preserved,0.0,False,True,
DBLP,Random-edge-relwise,structural_storage_ratio,0.16,0.16,all_target_preserved,0.0,False,True,
DBLP,Random-edge-relwise,structural_storage_ratio,0.12,0.12,all_target_preserved,0.0,False,True,
DBLP,Degree-edge-relwise,structural_storage_ratio,0.5,0.5,all_target_preserved,0.0,False,True,
DBLP,Degree-edge-relwise,structural_storage_ratio,0.3,0.3,all_target_preserved,0.0,False,True,
DBLP,Degree-edge-relwise,structural_storage_ratio,0.2,0.2,all_target_preserved,0.0,False,True,
DBLP,Degree-edge-relwise,structural_storage_ratio,0.16,0.16,all_target_preserved,0.0,False,True,
DBLP,Degree-edge-relwise,structural_storage_ratio,0.12,0.12,all_target_preserved,0.0,False,True,
DBLP,Proportional-relation-budget,structural_storage_ratio,0.5,0.5,all_target_preserved,0.0,False,True,
DBLP,Proportional-relation-budget,structural_storage_ratio,0.3,0.3,all_target_preserved,0.0,False,True,
DBLP,Proportional-relation-budget,structural_storage_ratio,0.2,0.2,all_target_preserved,0.0,False,True,
DBLP,Proportional-relation-budget,structural_storage_ratio,0.16,0.16,all_target_preserved,0.0,False,True,
DBLP,Proportional-relation-budget,structural_storage_ratio,0.12,0.12,all_target_preserved,0.0,False,True,
ACM,Random-edge-relwise,structural_storage_ratio,0.5,0.5,all_target_preserved,0.0,False,True,
ACM,Random-edge-relwise,structural_storage_ratio,0.3,0.3,all_target_preserved,0.0,False,True,
ACM,Random-edge-relwise,structural_storage_ratio,0.2,0.2,all_target_preserved,0.0,False,True,
ACM,Random-edge-relwise,structural_storage_ratio,0.16,0.16,all_target_preserved,0.0,False,True,
ACM,Random-edge-relwise,structural_storage_ratio,0.12,0.12,all_target_preserved,0.0,False,True,
ACM,Degree-edge-relwise,structural_storage_ratio,0.5,0.5,all_target_preserved,0.0,False,True,
ACM,Degree-edge-relwise,structural_storage_ratio,0.3,0.3,all_target_preserved,0.0,False,True,
ACM,Degree-edge-relwise,structural_storage_ratio,0.2,0.2,all_target_preserved,0.0,False,True,
ACM,Degree-edge-relwise,structural_storage_ratio,0.16,0.16,all_target_preserved,0.0,False,True,
ACM,Degree-edge-relwise,structural_storage_ratio,0.12,0.12,all_target_preserved,0.0,False,True,
ACM,Proportional-relation-budget,structural_storage_ratio,0.5,0.5,all_target_preserved,0.0,False,True,
ACM,Proportional-relation-budget,structural_storage_ratio,0.3,0.3,all_target_preserved,0.0,False,True,
ACM,Proportional-relation-budget,structural_storage_ratio,0.2,0.2,all_target_preserved,0.0,False,True,
ACM,Proportional-relation-budget,structural_storage_ratio,0.16,0.16,all_target_preserved,0.0,False,True,
ACM,Proportional-relation-budget,structural_storage_ratio,0.12,0.12,all_target_preserved,0.0,False,True,
IMDB,Random-edge-relwise,structural_storage_ratio,0.5,0.5,all_target_preserved,0.0,False,True,
IMDB,Random-edge-relwise,structural_storage_ratio,0.3,0.3,all_target_preserved,0.0,False,True,
IMDB,Random-edge-relwise,structural_storage_ratio,0.2,0.2,all_target_preserved,0.0,False,True,
IMDB,Random-edge-relwise,structural_storage_ratio,0.16,0.16,all_target_preserved,0.0,False,True,
IMDB,Random-edge-relwise,structural_storage_ratio,0.12,0.12,all_target_preserved,0.0,False,True,
IMDB,Degree-edge-relwise,structural_storage_ratio,0.5,0.5,all_target_preserved,0.0,False,True,
IMDB,Degree-edge-relwise,structural_storage_ratio,0.3,0.3,all_target_preserved,0.0,False,True,
IMDB,Degree-edge-relwise,structural_storage_ratio,0.2,0.2,all_target_preserved,0.0,False,True,
IMDB,Degree-edge-relwise,structural_storage_ratio,0.16,0.16,all_target_preserved,0.0,False,True,
IMDB,Degree-edge-relwise,structural_storage_ratio,0.12,0.12,all_target_preserved,0.0,False,True,
IMDB,Proportional-relation-budget,structural_storage_ratio,0.5,0.5,all_target_preserved,0.0,False,True,
IMDB,Proportional-relation-budget,structural_storage_ratio,0.3,0.3,all_target_preserved,0.0,False,True,
IMDB,Proportional-relation-budget,structural_storage_ratio,0.2,0.2,all_target_preserved,0.0,False,True,
IMDB,Proportional-relation-budget,structural_storage_ratio,0.16,0.16,all_target_preserved,0.0,False,True,
IMDB,Proportional-relation-budget,structural_storage_ratio,0.12,0.12,all_target_preserved,0.0,False,True,
DBLP,Random-HG-TP,support_node_ratio,0.3,,0.3,0.0,False,True,
DBLP,Random-HG-TP,support_node_ratio,0.5,,0.5,0.0,False,True,
DBLP,Random-HG-TP,structural_storage_ratio,0.3,0.3,,0.0,False,True,
DBLP,Random-HG-TP,structural_storage_ratio,0.2,0.2,,0.0,False,True,
DBLP,Random-HG-TP,structural_storage_ratio,0.16,0.16,,0.0,False,True,
DBLP,Herding-HG-TP,support_node_ratio,0.3,,0.3,0.0,False,True,
DBLP,Herding-HG-TP,support_node_ratio,0.5,,0.5,0.0,False,True,
DBLP,Herding-HG-TP,structural_storage_ratio,0.3,0.3,,0.0,False,True,
DBLP,Herding-HG-TP,structural_storage_ratio,0.2,0.2,,0.0,False,True,
DBLP,Herding-HG-TP,structural_storage_ratio,0.16,0.16,,0.0,False,True,
DBLP,KCenter-HG-TP,support_node_ratio,0.3,,0.3,0.0,False,True,
DBLP,KCenter-HG-TP,support_node_ratio,0.5,,0.5,0.0,False,True,
DBLP,KCenter-HG-TP,structural_storage_ratio,0.3,0.3,,0.0,False,True,
DBLP,KCenter-HG-TP,structural_storage_ratio,0.2,0.2,,0.0,False,True,
DBLP,KCenter-HG-TP,structural_storage_ratio,0.16,0.16,,0.0,False,True,
DBLP,GraphSparsify-TP,support_node_ratio,0.3,,0.3,0.0,False,True,
DBLP,GraphSparsify-TP,support_node_ratio,0.5,,0.5,0.0,False,True,
DBLP,GraphSparsify-TP,structural_storage_ratio,0.3,0.3,,0.0,False,True,
DBLP,GraphSparsify-TP,structural_storage_ratio,0.2,0.2,,0.0,False,True,
DBLP,GraphSparsify-TP,structural_storage_ratio,0.16,0.16,,0.0,False,True,
DBLP,Coarsening-HG-TP,support_node_ratio,0.3,,0.3,0.0,False,True,
DBLP,Coarsening-HG-TP,support_node_ratio,0.5,,0.5,0.0,False,True,
DBLP,Coarsening-HG-TP,structural_storage_ratio,0.3,0.3,,0.0,False,True,
DBLP,Coarsening-HG-TP,structural_storage_ratio,0.2,0.2,,0.0,False,True,
DBLP,Coarsening-HG-TP,structural_storage_ratio,0.16,0.16,,0.0,False,True,
DBLP,FreeHGC-score-TP,support_node_ratio,0.3,,0.3,0.0,False,True,
DBLP,FreeHGC-score-TP,support_node_ratio,0.5,,0.5,0.0,False,True,
DBLP,FreeHGC-score-TP,structural_storage_ratio,0.3,0.3,,0.0,False,True,
DBLP,FreeHGC-score-TP,structural_storage_ratio,0.2,0.2,,0.0,False,True,
DBLP,FreeHGC-score-TP,structural_storage_ratio,0.16,0.16,,0.0,False,True,
ACM,Random-HG-TP,support_node_ratio,0.3,,0.3,0.0,False,True,
ACM,Random-HG-TP,support_node_ratio,0.5,,0.5,0.0,False,True,
ACM,Random-HG-TP,structural_storage_ratio,0.3,0.3,,0.0,False,True,
ACM,Random-HG-TP,structural_storage_ratio,0.2,0.2,,0.0,False,True,
ACM,Random-HG-TP,structural_storage_ratio,0.16,0.16,,0.0,False,True,
ACM,Herding-HG-TP,support_node_ratio,0.3,,0.3,0.0,False,True,
ACM,Herding-HG-TP,support_node_ratio,0.5,,0.5,0.0,False,True,
ACM,Herding-HG-TP,structural_storage_ratio,0.3,0.3,,0.0,False,True,
ACM,Herding-HG-TP,structural_storage_ratio,0.2,0.2,,0.0,False,True,
ACM,Herding-HG-TP,structural_storage_ratio,0.16,0.16,,0.0,False,True,
ACM,KCenter-HG-TP,support_node_ratio,0.3,,0.3,0.0,False,True,
ACM,KCenter-HG-TP,support_node_ratio,0.5,,0.5,0.0,False,True,
ACM,KCenter-HG-TP,structural_storage_ratio,0.3,0.3,,0.0,False,True,
ACM,KCenter-HG-TP,structural_storage_ratio,0.2,0.2,,0.0,False,True,
ACM,KCenter-HG-TP,structural_storage_ratio,0.16,0.16,,0.0,False,True,
ACM,GraphSparsify-TP,support_node_ratio,0.3,,0.3,0.0,False,True,
ACM,GraphSparsify-TP,support_node_ratio,0.5,,0.5,0.0,False,True,
ACM,GraphSparsify-TP,structural_storage_ratio,0.3,0.3,,0.0,False,True,
ACM,GraphSparsify-TP,structural_storage_ratio,0.2,0.2,,0.0,False,True,
ACM,GraphSparsify-TP,structural_storage_ratio,0.16,0.16,,0.0,False,True,
ACM,Coarsening-HG-TP,support_node_ratio,0.3,,0.3,0.0,False,True,
ACM,Coarsening-HG-TP,support_node_ratio,0.5,,0.5,0.0,False,True,
ACM,Coarsening-HG-TP,structural_storage_ratio,0.3,0.3,,0.0,False,True,
ACM,Coarsening-HG-TP,structural_storage_ratio,0.2,0.2,,0.0,False,True,
ACM,Coarsening-HG-TP,structural_storage_ratio,0.16,0.16,,0.0,False,True,
ACM,FreeHGC-score-TP,support_node_ratio,0.3,,0.3,0.0,False,True,
ACM,FreeHGC-score-TP,support_node_ratio,0.5,,0.5,0.0,False,True,
ACM,FreeHGC-score-TP,structural_storage_ratio,0.3,0.3,,0.0,False,True,
ACM,FreeHGC-score-TP,structural_storage_ratio,0.2,0.2,,0.0,False,True,
ACM,FreeHGC-score-TP,structural_storage_ratio,0.16,0.16,,0.0,False,True,
IMDB,Random-HG-TP,support_node_ratio,0.3,,0.3,0.0,False,True,
IMDB,Random-HG-TP,support_node_ratio,0.5,,0.5,0.0,False,True,
IMDB,Random-HG-TP,structural_storage_ratio,0.3,0.3,,0.0,False,True,
IMDB,Random-HG-TP,structural_storage_ratio,0.2,0.2,,0.0,False,True,
IMDB,Random-HG-TP,structural_storage_ratio,0.16,0.16,,0.0,False,True,
IMDB,Herding-HG-TP,support_node_ratio,0.3,,0.3,0.0,False,True,
IMDB,Herding-HG-TP,support_node_ratio,0.5,,0.5,0.0,False,True,
IMDB,Herding-HG-TP,structural_storage_ratio,0.3,0.3,,0.0,False,True,
IMDB,Herding-HG-TP,structural_storage_ratio,0.2,0.2,,0.0,False,True,
IMDB,Herding-HG-TP,structural_storage_ratio,0.16,0.16,,0.0,False,True,
IMDB,KCenter-HG-TP,support_node_ratio,0.3,,0.3,0.0,False,True,
IMDB,KCenter-HG-TP,support_node_ratio,0.5,,0.5,0.0,False,True,
IMDB,KCenter-HG-TP,structural_storage_ratio,0.3,0.3,,0.0,False,True,
IMDB,KCenter-HG-TP,structural_storage_ratio,0.2,0.2,,0.0,False,True,
IMDB,KCenter-HG-TP,structural_storage_ratio,0.16,0.16,,0.0,False,True,
IMDB,GraphSparsify-TP,support_node_ratio,0.3,,0.3,0.0,False,True,
IMDB,GraphSparsify-TP,support_node_ratio,0.5,,0.5,0.0,False,True,
IMDB,GraphSparsify-TP,structural_storage_ratio,0.3,0.3,,0.0,False,True,
IMDB,GraphSparsify-TP,structural_storage_ratio,0.2,0.2,,0.0,False,True,
IMDB,GraphSparsify-TP,structural_storage_ratio,0.16,0.16,,0.0,False,True,
IMDB,Coarsening-HG-TP,support_node_ratio,0.3,,0.3,0.0,False,True,
IMDB,Coarsening-HG-TP,support_node_ratio,0.5,,0.5,0.0,False,True,
IMDB,Coarsening-HG-TP,structural_storage_ratio,0.3,0.3,,0.0,False,True,
